ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2024-01-01,45,236513,588,Employed,Associate,23,18746,72,Single,4,Other,294,0.08217074418508416,5,0,0.2416041291304025,0,Debt Consolidation,0,29,14,529,232,85593,7901,19709.416666666668,0.6016569076808382,6,77692,0.23974600000000001,0.22932083429483516,481.44133067994807,0.039343697674797486,1,37.6
2024-01-02,38,60500,543,Employed,High School,16,21814,60,Single,0,Mortgage,328,0.3086028697132774,3,2,0.45559340655786223,0,Education,0,23,11,7838,1459,21613,26752,5041.666666666667,0.5783757365714978,7,14968,0.255314,0.2886308777120639,690.6000272345873,0.20203636903826525,0,56.0
2024-01-03,47,30104,527,Self-Employed,High School,28,18811,60,Single,3,Mortgage,214,0.2508983096621274,2,0,0.4627648835981717,0,Home,0,19,26,14499,160,77896,21459,2508.6666666666665,0.8443368887361818,6,56437,0.260311,0.28103930103590985,586.8759253503321,0.31924365878966204,0,58.0
2024-01-04,58,56353,607,Employed,High School,36,31737,60,Married,3,Rent,604,0.22213312506638574,6,1,0.09628162821803889,0,Education,0,29,7,1145,3775,18392,44083,4696.083333333333,0.7156256802571074,5,12751,0.23323699999999997,0.2571508552006657,944.8748466904433,0.32982269196467484,0,48.0
2024-01-05,37,133586,610,Employed,Bachelor,13,13774,12,Married,1,Mortgage,252,0.18590513561468186,2,1,0.38443284406288303,0,Debt Consolidation,0,28,20,3043,1373,172827,19200,11132.166666666666,0.7744624830546785,3,153627,0.173774,0.173259640955818,1258.3859691786577,0.1356776281207903,1,35.2
2024-01-06,37,133766,531,Employed,High School,17,36258,96,Married,0,Mortgage,288,0.10171186840134401,4,0,0.11642994228196375,0,Home,0,27,19,3007,1080,152063,25842,11147.166666666666,0.7830810053908113,5,126221,0.30575800000000003,0.2844704907166115,960.8842550813546,0.11203602605278065,1,34.4
2024-01-07,58,37255,606,Employed,Associate,33,14959,36,Married,3,Rent,586,0.2925654638339774,0,0,0.035596815850071205,0,Other,0,30,15,2265,821,36816,40029,3104.5833333333335,0.8680233063756181,7,15979,0.196959,0.1720632785439539,534.8664970071599,0.361036047888496,0,48.0
2024-01-08,49,61178,591,Employed,Bachelor,26,43223,24,Divorced,2,Mortgage,500,0.3530396287945357,4,1,0.48699706431171214,0,Debt Consolidation,0,21,11,2338,4682,9035,20463,5098.166666666667,0.6632161149317853,6,15772,0.22272299999999998,0.21117136588345073,2223.5296066518836,0.5342174520223381,0,56.0
2024-01-09,34,17862,603,Employed,High School,13,18330,36,Single,0,Mortgage,175,0.3377588857827344,7,1,0.23374331835216952,0,Home,0,25,15,5391,303,180838,77551,1488.5,0.943773589671578,10,103287,0.20182999999999998,0.20173605576030748,682.830976670704,0.5763056611828713,0,47.0
2024-01-10,46,84956,525,Employed,Bachelor,24,14582,60,Single,3,Own,528,0.08850915168788445,3,1,0.20482395378850457,0,Home,0,20,1,14815,1108,73867,19722,7079.666666666667,0.8544719369507021,2,54145,0.25708200000000003,0.23626809635276289,416.34177459439655,0.13338788661345588,1,41.6
2024-01-11,34,132991,539,Employed,Bachelor,8,23176,36,Married,2,Rent,353,0.2910357344971443,2,2,0.1276340579152589,0,Debt Consolidation,0,19,4,4464,4564,507167,41058,11082.583333333334,0.9201589767929981,5,466109,0.238676,0.2269887660341454,893.5031769846747,0.11247406308559296,1,36.0
2024-01-12,34,36928,524,Employed,High School,10,10032,12,Single,4,Mortgage,382,0.3406719310502608,1,1,0.020772705736770824,0,Home,0,23,25,5425,804,83787,45957,3077.3333333333335,0.6435317061172544,2,37830,0.213032,0.1838235440444778,921.5601734878924,0.4236005763067241,0,51.0
2024-01-13,42,34097,616,Employed,Bachelor,19,12874,24,Single,1,Rent,835,0.34926708420819025,4,1,0.31879609542673565,0,Debt Consolidation,0,22,8,3020,8797,240459,10061,2841.4166666666665,0.9104876471414617,8,230398,0.179874,0.16820584109150774,635.4104123753738,0.5174920065842885,0,49.0
2024-01-14,18,46491,571,Unemployed,Bachelor,0,27918,36,Married,0,Mortgage,618,0.40819401247771847,4,0,0.6277663440147807,0,Auto,0,27,19,7702,5248,91802,36215,3874.25,0.8675618331866328,6,55587,0.227418,0.2380442143798774,1092.437942244542,0.4414887893771806,0,61.0
2024-01-15,19,49537,468,Employed,Associate,0,39679,24,Married,4,Rent,741,0.03053491688850641,3,1,0.2524140833082076,0,Debt Consolidation,0,21,19,6870,3437,10307,8792,4128.083333333333,0.9688941563120214,6,11615,0.280679,0.2662634401405621,2150.2438873506035,0.7003840896341572,0,52.0
2024-01-16,33,35530,560,Employed,High School,12,16418,48,Divorced,2,Mortgage,249,0.26904595676292414,2,0,0.23568263107358223,0,Home,0,19,26,1902,1164,25957,8260,2960.8333333333335,0.7780278929046407,5,17697,0.23141799999999998,0.25914143494825737,552.777990806008,0.2707947055916717,0,53.0
2024-01-17,27,56823,574,Unemployed,Bachelor,9,41671,36,Divorced,2,Mortgage,843,0.1335993100117966,3,1,0.43335034856516,0,Auto,0,28,7,4953,6731,16943,128303,4735.25,0.8463133621747876,1,15519,0.239671,0.24730428916810315,1650.8963437125133,0.52666624649438,0,59.0
2024-01-18,43,53122,632,Employed,Master,16,17916,36,Married,2,Mortgage,271,0.13386414589381446,2,2,0.14122089341735153,0,Other,0,19,2,1682,6604,9320,81186,4426.833333333333,0.7198212141470476,4,16262,0.186916,0.19544801510730153,661.6746802186747,0.21068664889545002,0,50.0
2024-01-19,29,90550,549,Self-Employed,Bachelor,6,24126,48,Widowed,1,Other,281,0.14583160368746653,4,0,0.40689643240832685,0,Home,0,22,28,2608,426,75506,18102,7545.833333333333,0.8207608397763505,2,57404,0.244626,0.27071830883704334,828.0790874255682,0.14697900661630942,0,55.0
2024-01-20,23,56648,451,Employed,High School,0,24229,60,Single,0,Own,384,0.29949624860288576,2,2,0.5593499794794682,0,Education,0,26,14,891,2687,70327,79047,4720.666666666667,0.9411925540876676,4,14788,0.30372899999999997,0.2760851799630023,748.6778491360127,0.23994023071656814,0,58.0
2024-01-21,57,29746,644,Self-Employed,Bachelor,35,47352,36,Divorced,2,Mortgage,529,0.34292148948803863,5,3,0.20182841595995848,0,Home,0,19,3,35305,1110,36415,87105,2478.8333333333335,0.686766754821559,2,19105,0.210352,0.2158625962576366,1798.2748414225923,0.9388589422803438,0,57.0
2024-01-22,37,23247,556,Employed,Associate,16,34274,48,Married,2,Rent,755,0.04499732357399722,3,1,0.20191078887130212,0,Auto,0,21,19,45258,1452,85096,2011,1937.25,0.9766848950983429,5,83085,0.251274,0.2702825949230777,1175.5421613879378,0.9965374429670604,0,51.0
2024-01-23,40,50898,656,Unemployed,Bachelor,18,19897,72,Divorced,4,Mortgage,393,0.06229680457196135,5,1,0.2869180289536997,0,Home,1,22,22,6181,631,16123,55045,4241.5,0.9482366994410367,3,17925,0.206897,0.19440274185567508,470.1559378468199,0.2035025198271413,0,54.0
2024-01-24,22,79868,561,Employed,Bachelor,3,74433,120,Single,0,Rent,967,0.41223022035969137,3,3,0.4143267658017039,0,Home,0,23,6,5121,3628,159548,8902,6655.666666666667,0.7474492021992828,3,150646,0.348933,0.2791464,1848.5317302576598,0.42302775533495157,0,55.0
2024-01-25,33,51103,573,Employed,Bachelor,6,21411,60,Married,0,Own,1133,0.012936255470709439,3,1,0.20903173626777408,0,Home,0,23,4,3010,7566,334850,52318,4258.583333333333,0.9442704301257403,8,282532,0.23991099999999999,0.20058160753156387,567.9536595572724,0.39941772331736436,0,48.0
2024-01-26,41,36833,579,Employed,Master,21,22195,48,Married,3,Mortgage,224,0.10789554445706945,1,1,0.47611566532172284,0,Home,0,18,16,1123,667,355847,50472,3069.4166666666665,0.9188456647258814,3,305375,0.227695,0.2071373972673452,683.8708503546268,0.2957796053608319,1,40.0
2024-01-27,26,61437,637,Employed,Bachelor,6,26009,60,Married,3,Rent,792,0.23416330022982107,3,0,0.5074989473965931,0,Debt Consolidation,0,18,2,1549,562,77049,15117,5119.75,0.8528210282887178,3,61932,0.212509,0.20492826239360104,696.2308785444594,0.29068428703441757,0,57.0
2024-01-28,44,40566,532,Employed,Bachelor,22,17847,48,Single,0,Rent,429,0.3627353876270956,3,0,0.3764286440758902,0,Debt Consolidation,0,18,10,4883,1650,33351,85634,3380.5,0.8379283216009716,2,18967,0.246847,0.2697644210172608,611.5981611345138,0.3078237423855979,0,55.0
2024-01-29,32,67411,525,Employed,High School,7,44005,36,Married,0,Own,671,0.27059452224051955,6,2,0.6590830290229613,0,Education,0,25,5,7891,1551,40095,128247,5617.583333333333,0.8729767008736675,3,17522,0.266505,0.2940557490249372,1853.7834389707323,0.4494429880531188,0,60.0
2024-01-30,36,73955,562,Employed,Master,13,20998,48,Single,1,Mortgage,236,0.29672452683907086,3,0,0.17755164084032982,1,Auto,0,23,6,1896,574,41679,42912,6162.916666666667,0.8620759146415066,1,15336,0.23499799999999998,0.23840294582494226,682.7207330002504,0.14907239261717267,0,64.0
2024-01-31,32,40102,541,Employed,Master,12,30446,120,Married,0,Mortgage,748,0.2628749272863531,6,2,0.20845387045191618,0,Auto,0,19,27,7588,2539,338590,25244,3341.8333333333335,0.6095937815116509,5,313346,0.314946,0.3194263476131527,846.6274687363973,0.4771714534147117,0,47.0
2024-02-01,62,61906,607,Employed,High School,37,5590,60,Single,2,Other,307,0.4551797434590209,3,3,0.3361570738353707,0,Education,0,16,29,1347,2072,128944,32104,5158.833333333333,0.7930535029083878,8,96840,0.20709,0.1930679103906047,145.95295122967818,0.08780143144050882,1,40.0
2024-02-02,39,106387,594,Employed,Associate,15,23522,36,Married,2,Mortgage,702,0.27423120282600055,6,1,0.2371156036576421,0,Debt Consolidation,0,24,28,3885,2019,18240,7307,8865.583333333334,0.8112732773067198,4,10933,0.21152200000000002,0.22382471663025988,902.9766770818566,0.18103452606974796,1,40.800000000000004
2024-02-03,27,26471,591,Employed,High School,3,18617,96,Single,3,Mortgage,394,0.33933189441982814,3,1,0.3955190745568055,0,Debt Consolidation,0,23,20,6061,5060,258774,27376,2205.9166666666665,0.7213826146534205,4,231398,0.258117,0.2571038802558992,458.8288216810485,0.3866097185664532,0,52.0
2024-02-04,49,62469,552,Employed,Bachelor,25,22827,48,Married,1,Rent,378,0.3105074276748375,1,0,0.6142883475007755,0,Debt Consolidation,0,22,8,24088,2029,35996,31187,5205.75,0.5067837420057297,4,14933,0.241827,0.20857304681147146,705.1031047371315,0.20805899337024092,0,59.0
2024-02-05,25,38748,521,Employed,Bachelor,0,12345,48,Divorced,2,Rent,403,0.5191262737633978,6,0,0.3893505951858587,0,Auto,0,25,6,6755,971,75437,33353,3229.0,0.9597432832948606,5,42084,0.246845,0.2584962262711459,415.19640079525794,0.25339002811869243,0,58.0
2024-02-06,42,55519,472,Employed,High School,15,20102,60,Divorced,4,Rent,586,0.22545157235537513,3,2,0.19586489502079535,0,Home,0,14,18,1526,1008,191078,26397,4626.583333333333,0.7300149661489322,2,164681,0.289102,0.3182344167610454,673.0613666271554,0.2721363208906116,0,46.0
2024-02-07,18,27339,586,Employed,Master,0,24144,60,Single,4,Own,403,0.23817502212403346,3,3,0.5065520483434286,0,Auto,0,16,8,2813,192,61584,12522,2278.25,0.8999517078018233,6,49062,0.23614400000000002,0.2672272384932459,733.2489232820769,0.49873759389095884,0,61.0
2024-02-08,24,39308,466,Employed,High School,0,18428,36,Single,0,Other,545,0.5592493347491716,1,1,0.10781414128749407,0,Auto,0,17,17,1016,503,34679,13980,3275.6666666666665,0.7703382871314625,3,20699,0.270428,0.3171908194744513,799.749633361723,0.4105270072336592,0,52.0
2024-02-09,42,106261,539,Employed,Bachelor,19,29688,48,Single,0,Mortgage,404,0.1665194956271418,5,2,0.43886061669660026,0,Education,0,26,13,7945,3996,35650,10003,8855.083333333334,0.9158937568372401,4,25647,0.25518799999999997,0.2324118631032213,955.4714236839609,0.15352440767739367,1,43.2
2024-02-10,48,31263,650,Employed,Associate,25,22745,36,Divorced,4,Own,219,0.14819424974177164,3,0,0.0940765356155702,0,Debt Consolidation,0,26,23,2779,3649,24489,4466,2605.25,0.7674477226098441,6,20023,0.18274500000000002,0.20064666838178125,846.0353259508405,0.4088035029079131,0,44.0
2024-02-11,42,19035,615,Employed,Associate,23,30285,60,Single,1,Other,474,0.42719212704068515,2,0,0.4198293270799802,0,Home,0,32,18,1985,1731,28764,8768,1586.25,0.8335066184753718,5,19996,0.22778500000000002,0.21451462310416208,827.0208741884638,0.8201865243110884,0,56.0
2024-02-12,38,21964,554,Employed,High School,16,35894,24,Single,2,Mortgage,496,0.38028645861450816,1,1,0.38192341183608214,0,Debt Consolidation,0,16,13,1642,1233,47513,3432,1830.3333333333333,0.655384295064398,5,44081,0.233894,0.19505896558601266,1818.2015738061489,1.2643607214384351,0,56.0
2024-02-13,36,24196,511,Employed,High School,15,37356,72,Single,4,Other,198,0.40389019901453255,2,2,0.37569016170373215,0,Education,1,25,17,1245,362,55360,25991,2016.3333333333333,0.6324796377120823,8,29369,0.296856,0.23748480000000002,977.7691904024566,0.5831224287001768,0,63.0
2024-02-14,22,64842,569,Employed,Bachelor,0,18195,36,Divorced,1,Rent,342,0.41458401010847384,1,0,0.3015018445613184,0,Auto,0,25,1,1524,252,121167,9655,5403.5,0.900633198699254,5,111512,0.218695,0.2253588805794209,699.9296511197872,0.19282495625424026,0,55.0
2024-02-15,31,17809,568,Unemployed,Bachelor,6,18060,36,Widowed,1,Rent,575,0.31573076888124796,2,2,0.16775194742706098,0,Debt Consolidation,0,28,3,14840,1247,59242,4749,1484.0833333333333,0.8518216862382115,4,54493,0.21905999999999998,0.24293561638606564,711.3320059279455,0.8667518710278704,0,56.0
2024-02-16,34,34075,599,Employed,High School,16,49130,36,Married,0,Rent,431,0.16770013250848598,2,1,0.34291238929300966,0,Education,0,30,28,2904,1597,40048,15676,2839.5833333333335,0.6740617625512114,6,24372,0.23463,0.22095364254445535,1878.7216518668695,0.8134016088746128,0,54.0
2024-02-17,52,107816,614,Employed,High School,30,13919,120,Divorced,4,Rent,496,0.17372977980996238,6,0,0.25147638900986063,0,Debt Consolidation,0,20,14,19192,396,104637,110285,5674.0,0.9188960981674112,2,15636,0.261919,0.27252646135636144,339.0106261826785,0.14716436837904098,0,47.0
2024-02-18,44,56990,577,Employed,High School,19,17853,60,Married,2,Rent,328,0.1672237153909226,5,1,0.49053926225775296,0,Debt Consolidation,0,21,12,1725,985,66742,11043,4749.166666666667,0.7255577219723789,4,55699,0.23435300000000003,0.208874078615129,481.85358369508594,0.17052540804248167,0,53.0
