DebtToIncomeRatio,CreditScore,MonthlyDebtPayments,PaymentHistory,NetWorth,SavingsAccountBalance,BankruptcyHistory,CreditCardUtilizationRate,LoanAmount,EmploymentStatus,RiskScore
0.2416041291304025,588,294,29,77692,529,0,0.0821707441850841,18746,Employed,37.6
0.4555934065578622,543,328,23,14968,7838,0,0.3086028697132774,21814,Employed,56.0
0.4627648835981717,527,214,19,56437,14499,0,0.2508983096621274,18811,Self-Employed,58.0
0.0962816282180388,607,604,29,12751,1145,0,0.2221331250663857,31737,Employed,48.0
0.384432844062883,610,252,28,153627,3043,0,0.1859051356146818,13774,Employed,35.2
0.1164299422819637,531,288,27,126221,3007,0,0.101711868401344,36258,Employed,34.4
0.0355968158500712,606,586,30,15979,2265,0,0.2925654638339774,14959,Employed,48.0
0.4869970643117121,591,500,21,15772,2338,0,0.3530396287945357,43223,Employed,56.0
0.2337433183521695,603,175,25,103287,5391,0,0.3377588857827344,18330,Employed,47.0
0.2048239537885045,525,528,20,54145,14815,0,0.0885091516878844,14582,Employed,41.6
0.1276340579152589,539,353,19,466109,4464,0,0.2910357344971443,23176,Employed,36.0
0.0207727057367708,524,382,23,37830,5425,0,0.3406719310502608,10032,Employed,51.0
0.3187960954267356,616,835,22,230398,3020,0,0.3492670842081902,12874,Employed,49.0
0.6277663440147807,571,618,27,55587,7702,0,0.4081940124777184,27918,Unemployed,61.0
0.2524140833082076,468,741,21,11615,6870,0,0.0305349168885064,39679,Employed,52.0
0.2356826310735822,560,249,19,17697,1902,0,0.2690459567629241,16418,Employed,53.0
0.43335034856516,574,843,28,15519,4953,0,0.1335993100117966,41671,Unemployed,59.0
0.1412208934173515,632,271,19,16262,1682,0,0.1338641458938144,17916,Employed,50.0
0.4068964324083268,549,281,22,57404,2608,0,0.1458316036874665,24126,Self-Employed,55.0
0.5593499794794682,451,384,26,14788,891,0,0.2994962486028857,24229,Employed,58.0
0.2018284159599584,644,529,19,19105,35305,0,0.3429214894880386,47352,Self-Employed,57.0
0.2019107888713021,556,755,21,83085,45258,0,0.0449973235739972,34274,Employed,51.0
0.2869180289536997,656,393,22,17925,6181,0,0.0622968045719613,19897,Unemployed,54.0
0.4143267658017039,561,967,23,150646,5121,0,0.4122302203596913,74433,Employed,55.0
0.209031736267774,573,1133,23,282532,3010,0,0.0129362554707094,21411,Employed,48.0
0.4761156653217228,579,224,18,305375,1123,0,0.1078955444570694,22195,Employed,40.0
0.5074989473965931,637,792,18,61932,1549,0,0.234163300229821,26009,Employed,57.0
0.3764286440758902,532,429,18,18967,4883,0,0.3627353876270956,17847,Employed,55.0
0.6590830290229613,525,671,25,17522,7891,0,0.2705945222405195,44005,Employed,60.0
0.1775516408403298,562,236,23,15336,1896,1,0.2967245268390708,20998,Employed,64.0
0.2084538704519161,541,748,19,313346,7588,0,0.2628749272863531,30446,Employed,47.0
0.3361570738353707,607,307,16,96840,1347,0,0.4551797434590209,5590,Employed,40.0
0.2371156036576421,594,702,24,10933,3885,0,0.2742312028260005,23522,Employed,40.8
0.3955190745568055,591,394,23,231398,6061,0,0.3393318944198281,18617,Employed,52.0
0.6142883475007755,552,378,22,14933,24088,0,0.3105074276748375,22827,Employed,59.0
0.3893505951858587,521,403,25,42084,6755,0,0.5191262737633978,12345,Employed,58.0
0.1958648950207953,472,586,14,164681,1526,0,0.2254515723553751,20102,Employed,46.0
0.5065520483434286,586,403,16,49062,2813,0,0.2381750221240334,24144,Employed,61.0
0.107814141287494,466,545,17,20699,1016,0,0.5592493347491716,18428,Employed,52.0
0.4388606166966002,539,404,26,25647,7945,0,0.1665194956271418,29688,Employed,43.2
0.0940765356155702,650,219,26,20023,2779,0,0.1481942497417716,22745,Employed,44.0
0.4198293270799802,615,474,32,19996,1985,0,0.4271921270406851,30285,Employed,56.0
0.3819234118360821,554,496,16,44081,1642,0,0.3802864586145081,35894,Employed,56.0
0.3756901617037321,511,198,25,29369,1245,0,0.4038901990145325,37356,Employed,63.0
0.3015018445613184,569,342,25,111512,1524,0,0.4145840101084738,18195,Employed,55.0
0.1677519474270609,568,575,28,54493,14840,0,0.3157307688812479,18060,Unemployed,56.0
0.3429123892930096,599,431,30,24372,2904,0,0.1677001325084859,49130,Employed,54.0
0.2514763890098606,614,496,20,15636,19192,0,0.1737297798099623,13919,Employed,47.0
0.4905392622577529,577,328,21,55699,1725,0,0.1672237153909226,17853,Employed,53.0
0.1144578989106927,552,289,23,172568,10469,0,0.1441514127038323,20321,Employed,46.0
0.3563382839242309,566,475,20,32018,1268,0,0.3095129662795134,14350,Employed,43.2
0.2150051980716483,519,88,17,14218,10880,0,0.4560131709736834,23304,Employed,55.0
0.2443484506079073,561,516,32,17521,8099,0,0.5193822970682859,40439,Employed,56.0
0.3404809462069744,605,676,22,121997,2894,0,0.228015728940976,8464,Employed,49.0
0.2357522114408886,625,576,29,37822,702,0,0.0761326555807383,17014,Employed,41.6
0.3448806219913789,628,405,29,75970,5998,0,0.3728786033425952,23381,Employed,38.400000000000006
0.0725421828008565,612,703,20,15180,3491,0,0.3547076835256253,48161,Employed,37.6
0.2936216090416665,587,696,25,71630,1297,0,0.1966581476895364,10437,Employed,51.0
0.2432139715024478,637,191,18,231071,10310,0,0.3221031328884619,34012,Employed,45.0
0.0837334671365045,519,332,28,10433,4167,0,0.3571184937358599,20299,Employed,51.0
0.1660104310710408,538,423,25,58736,3574,0,0.3146068205079882,23889,Employed,49.0
0.3004055480499027,486,440,32,12215,3012,0,0.470194394393074,40694,Employed,42.400000000000006
0.2986715456175573,475,528,18,60719,1304,0,0.5545830853310819,20622,Employed,53.0
0.3227618475309923,591,522,21,13103,3453,0,0.2778243099290118,21669,Employed,44.0
0.3354531872159054,609,438,23,12567,2670,0,0.5367749251144459,23564,Employed,64.0
0.3895084594675227,534,556,24,14017,9348,0,0.4650870459169741,24359,Employed,59.0
0.3111248810350291,595,369,24,20434,1319,1,0.1763725674261098,12780,Employed,73.0
0.4013228546306017,627,806,29,42631,5874,0,0.2698558901790513,23883,Self-Employed,56.0
0.0218656707119502,583,1015,22,179339,1236,0,0.1691731930166859,27365,Employed,45.0
